stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,FlyQuest,paiN Gaming,11,0.00022,0.46863015258015284,7,4
playoffs,1,3,G2 Esports,9z Team,68,0.00136,0.6174720237153619,42,26
playoffs,1,3,G2 Esports,Astralis,165,0.0033,0.5759314593055282,88,77
playoffs,1,3,G2 Esports,Aurora Gaming,332,0.00664,0.5386110991744134,183,149
playoffs,1,3,G2 Esports,B8 Esports,68,0.00136,0.5761922545104066,45,23
playoffs,1,3,G2 Esports,BIG,139,0.00278,0.5708851264080064,80,59
playoffs,1,3,G2 Esports,BetBoom Team,226,0.00452,0.4973636616586222,112,114
playoffs,1,3,G2 Esports,FURIA Esports,417,0.00834,0.42935898281500434,169,248
playoffs,1,3,G2 Esports,FUT Esports,171,0.00342,0.5586590925453185,98,73
playoffs,1,3,G2 Esports,FlyQuest,43,0.00086,0.6283373646192337,23,20
playoffs,1,3,G2 Esports,Gaimin Gladiators,8,0.00016,0.6975074320200361,5,3
playoffs,1,3,G2 Esports,GamerLegion,146,0.00292,0.5336480012437249,80,66
playoffs,1,3,G2 Esports,Heroic,47,0.00094,0.5970856718863465,26,21
playoffs,1,3,G2 Esports,Legacy,236,0.00472,0.5317515858675373,122,114
playoffs,1,3,G2 Esports,Lynn Vision Gaming,7,0.00014,0.6844369358860063,3,4
playoffs,1,3,G2 Esports,M80,44,0.00088,0.6739161310888858,29,15
playoffs,1,3,G2 Esports,MIBR,43,0.00086,0.6453831968244255,25,18
playoffs,1,3,G2 Esports,MOUZ,489,0.00978,0.40173755746046724,210,279
playoffs,1,3,G2 Esports,Monte,92,0.00184,0.6340119031462039,62,30
playoffs,1,3,G2 Esports,Natus Vincere,545,0.0109,0.3413819957384265,174,371
playoffs,1,3,G2 Esports,PARIVISION,305,0.0061,0.5511353300245712,163,142
playoffs,1,3,G2 Esports,Sharks Esports,16,0.00032,0.6727149799539748,7,9
playoffs,1,3,G2 Esports,Sinners Esports,55,0.0011,0.6094134465187616,38,17
playoffs,1,3,G2 Esports,THUNDERdOWNUNDER,1,2e-05,0.7285289426946043,1,0
playoffs,1,3,G2 Esports,TYLOO,20,0.0004,0.6667959299541857,15,5
playoffs,1,3,G2 Esports,Team Falcons,479,0.00958,0.3878854969942541,186,293
playoffs,1,3,G2 Esports,Team Liquid,21,0.00042,0.6641276054117651,14,7
playoffs,1,3,G2 Esports,Team Spirit,460,0.0092,0.22425669571285378,104,356
playoffs,1,3,G2 Esports,Team Vitality,492,0.00984,0.19252606227622207,96,396
playoffs,1,3,G2 Esports,The Mongolz,404,0.00808,0.4578255929593314,203,201
playoffs,1,3,G2 Esports,paiN Gaming,101,0.00202,0.6214006671220119,63,38
playoffs,1,3,Gaimin Gladiators,9z Team,2,4e-05,0.37430552588439564,0,2
playoffs,1,3,Gaimin Gladiators,Astralis,3,6e-05,0.31881053124706693,0,3
playoffs,1,3,Gaimin Gladiators,Aurora Gaming,6,0.00012,0.2902301262504961,1,5
playoffs,1,3,Gaimin Gladiators,B8 Esports,1,2e-05,0.35950354876818613,1,0
playoffs,1,3,Gaimin Gladiators,BIG,7,0.00014,0.2680547744481925,1,6
playoffs,1,3,Gaimin Gladiators,BetBoom Team,5,0.0001,0.27277269411560956,1,4
playoffs,1,3,Gaimin Gladiators,FURIA Esports,6,0.00012,0.27129875041091417,1,5
playoffs,1,3,Gaimin Gladiators,FUT Esports,4,8e-05,0.3265928686836587,2,2
playoffs,1,3,Gaimin Gladiators,FlyQuest,2,4e-05,0.3536978447616632,0,2
playoffs,1,3,Gaimin Gladiators,G2 Esports,6,0.00012,0.30764546949580435,1,5
